x,y,z,target,target_name
-51.0,13.91,-1.02,0.0,pitch
-51.0,13.91,-1.02,0.0,pitch
-51.0,13.64,-3.57,0.0,pitch
-51.0,13.64,-3.57,0.0,pitch
-51.0,13.64,-3.57,0.0,pitch
-50.91,13.45,-5.61,0.0,pitch
-50.91,13.45,-5.61,0.0,pitch
-50.91,13.45,-5.61,0.0,pitch
-50.91,12.82,-7.76,0.0,pitch
-50.91,12.82,-7.76,0.0,pitch
-50.91,12.82,-7.76,0.0,pitch
-50.91,12.0,-9.49,0.0,pitch
-50.91,12.0,-9.49,0.0,pitch
-50.91,12.0,-9.49,0.0,pitch
-50.91,11.09,-10.82,0.0,pitch
-50.91,11.09,-10.82,0.0,pitch
-50.91,11.09,-10.82,0.0,pitch
-50.82,10.55,-11.63,0.0,pitch
-50.82,10.55,-11.63,0.0,pitch
-50.82,10.55,-11.63,0.0,pitch
-50.82,10.09,-12.14,0.0,pitch
-50.82,10.09,-12.14,0.0,pitch
-50.82,10.09,-12.14,0.0,pitch
-50.82,10.18,-11.84,0.0,pitch
-50.82,10.18,-11.84,0.0,pitch
-50.82,10.18,-11.84,0.0,pitch
-51.09,10.27,-10.92,0.0,pitch
-51.09,10.27,-10.92,0.0,pitch
-51.45,10.45,-8.98,0.0,pitch
-51.45,10.45,-8.98,0.0,pitch
-51.45,10.45,-8.98,0.0,pitch
-51.82,9.82,-5.2,0.0,pitch
-51.82,9.82,-5.2,0.0,pitch
-51.82,9.82,-5.2,0.0,pitch
-51.82,9.82,-5.2,0.0,pitch
-52.09,8.36,0.41,0.0,pitch
-52.09,8.36,0.41,0.0,pitch
-52.09,8.36,0.41,0.0,pitch
-51.45,7.27,6.43,0.0,pitch
-51.45,7.27,6.43,0.0,pitch
-51.45,7.27,6.43,0.0,pitch
-50.27,6.36,11.22,0.0,pitch
-50.27,6.36,11.22,0.0,pitch
-50.27,6.36,11.22,0.0,pitch
-48.45,6.09,15.71,0.0,pitch
-48.45,6.09,15.71,0.0,pitch
-48.45,6.09,15.71,0.0,pitch
-45.09,7.91,21.22,0.0,pitch
-45.09,7.91,21.22,0.0,pitch
-45.09,7.91,21.22,0.0,pitch
-40.09,11.27,26.84,0.0,pitch
-40.09,11.27,26.84,0.0,pitch
-40.09,11.27,26.84,0.0,pitch
-33.82,14.45,31.84,0.0,pitch
-33.82,14.45,31.84,0.0,pitch
-33.82,14.45,31.84,0.0,pitch
-30.09,13.64,34.8,0.0,pitch
-30.09,13.64,34.8,0.0,pitch
-30.09,13.64,34.8,0.0,pitch
-26.64,11.18,37.45,0.0,pitch
-26.64,11.18,37.45,0.0,pitch
-26.64,11.18,37.45,0.0,pitch
-19.36,11.73,40.82,0.0,pitch
-19.36,11.73,40.82,0.0,pitch
-19.36,11.73,40.82,0.0,pitch
-13.73,9.91,42.96,0.0,pitch
-13.73,9.91,42.96,0.0,pitch
-13.73,9.91,42.96,0.0,pitch
-8.18,8.09,44.18,0.0,pitch
-8.18,8.09,44.18,0.0,pitch
-8.18,8.09,44.18,0.0,pitch
-8.18,8.09,44.18,0.0,pitch
-1.27,8.45,44.8,0.0,pitch
-1.27,8.45,44.8,0.0,pitch
-1.27,8.45,44.8,0.0,pitch
7.64,9.91,44.18,0.0,pitch
7.64,9.91,44.18,0.0,pitch
7.64,9.91,44.18,0.0,pitch
14.64,8.82,43.06,0.0,pitch
14.64,8.82,43.06,0.0,pitch
14.64,8.82,43.06,0.0,pitch
14.64,8.82,43.06,0.0,pitch
21.0,7.36,41.43,0.0,pitch
21.0,7.36,41.43,0.0,pitch
21.0,7.36,41.43,0.0,pitch
26.91,7.73,38.57,0.0,pitch
26.91,7.73,38.57,0.0,pitch
26.91,7.73,38.57,0.0,pitch
33.0,8.27,34.9,0.0,pitch
33.0,8.27,34.9,0.0,pitch
33.0,8.27,34.9,0.0,pitch
37.82,8.27,31.02,0.0,pitch
37.82,8.27,31.02,0.0,pitch
37.82,8.27,31.02,0.0,pitch
37.82,8.27,31.02,0.0,pitch
40.45,8.0,28.37,0.0,pitch
40.45,8.0,28.37,0.0,pitch
40.45,8.0,28.37,0.0,pitch
43.45,8.36,24.9,0.0,pitch
43.45,8.36,24.9,0.0,pitch
43.45,8.36,24.9,0.0,pitch
46.73,9.0,19.8,0.0,pitch
46.73,9.0,19.8,0.0,pitch
46.73,9.0,19.8,0.0,pitch
49.18,9.27,14.9,0.0,pitch
49.18,9.27,14.9,0.0,pitch
49.18,9.27,14.9,0.0,pitch
49.18,9.27,14.9,0.0,pitch
50.55,9.09,11.22,0.0,pitch
50.55,9.09,11.22,0.0,pitch
50.55,9.09,11.22,0.0,pitch
51.73,8.18,7.96,0.0,pitch
51.73,8.18,7.96,0.0,pitch
51.73,8.18,7.96,0.0,pitch
52.91,7.09,3.57,0.0,pitch
52.91,7.09,3.57,0.0,pitch
52.91,7.09,3.57,0.0,pitch
52.91,7.09,3.57,0.0,pitch
53.55,6.27,-1.22,0.0,pitch
53.55,6.27,-1.22,0.0,pitch
53.55,6.27,-1.22,0.0,pitch
53.55,6.18,-3.27,0.0,pitch
53.55,6.18,-3.27,0.0,pitch
53.55,6.18,-3.27,0.0,pitch
53.45,6.55,-4.18,0.0,pitch
53.45,6.55,-4.18,0.0,pitch
53.45,6.55,-4.18,0.0,pitch
53.45,6.55,-4.18,0.0,pitch
53.18,7.27,-5.41,0.0,pitch
53.18,7.27,-5.41,0.0,pitch
53.18,7.27,-5.41,0.0,pitch
53.09,7.36,-7.04,0.0,pitch
53.09,7.36,-7.04,0.0,pitch
53.09,7.36,-7.04,0.0,pitch
52.91,7.45,-7.76,0.0,pitch
52.91,7.45,-7.76,0.0,pitch
52.91,7.45,-7.76,0.0,pitch
53.09,7.55,-7.04,0.0,pitch
53.09,7.55,-7.04,0.0,pitch
53.09,7.55,-7.04,0.0,pitch
53.09,7.55,-7.04,0.0,pitch
53.18,7.36,-5.82,0.0,pitch
53.18,7.36,-5.82,0.0,pitch
53.18,7.36,-5.82,0.0,pitch
53.27,7.18,-3.88,0.0,pitch
53.27,7.18,-3.88,0.0,pitch
53.27,7.18,-3.88,0.0,pitch
53.27,7.09,-0.2,0.0,pitch
53.27,7.09,-0.2,0.0,pitch
53.27,7.09,-0.2,0.0,pitch
52.55,6.82,5.1,0.0,pitch
52.55,6.82,5.1,0.0,pitch
52.55,6.82,5.1,0.0,pitch
52.55,6.82,5.1,0.0,pitch
51.09,6.73,11.63,0.0,pitch
51.09,6.73,11.63,0.0,pitch
51.09,6.73,11.63,0.0,pitch
48.18,6.91,17.96,0.0,pitch
48.18,6.91,17.96,0.0,pitch
48.18,6.91,17.96,0.0,pitch
44.55,7.18,23.67,0.0,pitch
44.55,7.18,23.67,0.0,pitch
44.55,7.18,23.67,0.0,pitch
44.55,7.18,23.67,0.0,pitch
40.27,8.18,28.57,0.0,pitch
40.27,8.18,28.57,0.0,pitch
40.27,8.18,28.57,0.0,pitch
34.09,8.91,33.67,0.0,pitch
34.09,8.91,33.67,0.0,pitch
34.09,8.91,33.67,0.0,pitch
25.18,9.18,38.98,0.0,pitch
25.18,9.18,38.98,0.0,pitch
25.18,9.18,38.98,0.0,pitch
19.27,11.18,40.92,0.0,pitch
19.27,11.18,40.92,0.0,pitch
19.27,11.18,40.92,0.0,pitch
16.18,14.64,41.12,0.0,pitch
16.18,14.64,41.12,0.0,pitch
16.18,14.64,41.12,0.0,pitch
16.18,14.64,41.12,0.0,pitch
10.73,15.36,42.14,0.0,pitch
10.73,15.36,42.14,0.0,pitch
10.73,15.36,42.14,0.0,pitch
3.45,14.91,43.06,0.0,pitch
3.45,14.91,43.06,0.0,pitch
3.45,14.91,43.06,0.0,pitch
-1.27,16.82,42.55,0.0,pitch
-1.27,16.82,42.55,0.0,pitch
-1.27,16.82,42.55,0.0,pitch
-6.09,17.73,42.04,0.0,pitch
-6.09,17.73,42.04,0.0,pitch
-6.09,17.73,42.04,0.0,pitch
-12.36,16.64,41.12,0.0,pitch
-12.36,16.64,41.12,0.0,pitch
-12.36,16.64,41.12,0.0,pitch
-17.64,16.91,39.49,0.0,pitch
-17.64,16.91,39.49,0.0,pitch
-17.64,16.91,39.49,0.0,pitch
-22.18,17.36,37.55,0.0,pitch
-22.18,17.36,37.55,0.0,pitch
-22.18,17.36,37.55,0.0,pitch
-26.18,17.82,35.51,0.0,pitch
-26.18,17.82,35.51,0.0,pitch
-26.18,17.82,35.51,0.0,pitch
-28.91,18.82,33.16,0.0,pitch
-28.91,18.82,33.16,0.0,pitch
-28.91,18.82,33.16,0.0,pitch
-32.64,19.0,30.41,0.0,pitch
-32.64,19.0,30.41,0.0,pitch
-32.64,19.0,30.41,0.0,pitch
-37.09,18.45,26.63,0.0,pitch
-37.09,18.45,26.63,0.0,pitch
-37.09,18.45,26.63,0.0,pitch
-40.45,18.73,22.76,0.0,pitch
-40.45,18.73,22.76,0.0,pitch
-40.45,18.73,22.76,0.0,pitch
-42.64,19.27,19.18,0.0,pitch
-42.64,19.27,19.18,0.0,pitch
-42.64,19.27,19.18,0.0,pitch
-44.91,19.27,15.2,0.0,pitch
-44.91,19.27,15.2,0.0,pitch
-44.91,19.27,15.2,0.0,pitch
-46.82,18.82,10.92,0.0,pitch
-46.82,18.82,10.92,0.0,pitch
-46.82,18.82,10.92,0.0,pitch
-48.27,18.36,7.04,0.0,pitch
-48.27,18.36,7.04,0.0,pitch
-48.27,18.36,7.04,0.0,pitch
-49.45,17.18,2.86,0.0,pitch
-49.45,17.18,2.86,0.0,pitch
-49.45,17.18,2.86,0.0,pitch
-50.45,16.27,-1.22,0.0,pitch
-50.45,16.27,-1.22,0.0,pitch
-50.45,16.27,-1.22,0.0,pitch
-50.64,15.55,-3.98,0.0,pitch
-50.64,15.55,-3.98,0.0,pitch
-50.64,15.55,-3.98,0.0,pitch
-50.91,14.18,-6.22,0.0,pitch
-50.91,14.18,-6.22,0.0,pitch
-50.91,14.18,-6.22,0.0,pitch
-51.0,12.91,-8.67,0.0,pitch
-51.0,12.91,-8.67,0.0,pitch
-51.0,12.91,-8.67,0.0,pitch
-51.0,12.09,-10.82,0.0,pitch
-51.0,12.09,-10.82,0.0,pitch
-51.0,12.09,-10.82,0.0,pitch
-50.73,11.64,-12.35,0.0,pitch
-50.73,11.64,-12.35,0.0,pitch
-50.73,11.64,-12.35,0.0,pitch
-50.55,10.91,-13.88,0.0,pitch
-50.55,10.91,-13.88,0.0,pitch
-50.55,10.91,-13.88,0.0,pitch
-50.27,10.09,-15.41,0.0,pitch
-50.27,10.09,-15.41,0.0,pitch
-50.27,10.09,-15.41,0.0,pitch
-50.09,9.91,-15.92,0.0,pitch
-50.09,9.91,-15.92,0.0,pitch
-50.09,9.91,-15.92,0.0,pitch
-50.36,9.73,-15.61,0.0,pitch
-50.36,9.73,-15.61,0.0,pitch
-50.36,9.73,-15.61,0.0,pitch
-50.45,9.73,-15.31,0.0,pitch
-50.45,9.73,-15.31,0.0,pitch
-50.45,9.73,-15.31,0.0,pitch
-50.73,10.09,-13.67,0.0,pitch
-50.73,10.09,-13.67,0.0,pitch
-50.73,10.09,-13.67,0.0,pitch
-51.55,10.91,-9.18,0.0,pitch
-51.55,10.91,-9.18,0.0,pitch
-51.55,10.91,-9.18,0.0,pitch
-51.73,11.73,-2.35,0.0,pitch
-51.73,11.73,-2.35,0.0,pitch
-51.73,11.73,-2.35,0.0,pitch
-51.73,11.73,-2.35,0.0,pitch
-51.73,11.73,-2.35,0.0,pitch
-48.73,12.36,4.69,0.0,pitch
-48.73,12.36,12.35,0.0,pitch
-48.73,12.36,12.35,0.0,pitch
-48.73,12.36,12.35,0.0,pitch
-44.55,12.09,20.51,0.0,pitch
-44.55,12.09,20.51,0.0,pitch
-44.55,12.09,20.51,0.0,pitch
-38.82,11.55,27.96,0.0,pitch
-38.82,11.55,27.96,0.0,pitch
-31.64,11.0,27.96,0.0,pitch
-31.64,11.0,34.08,0.0,pitch
-31.64,11.0,34.08,0.0,pitch
-23.64,11.09,38.78,0.0,pitch
-23.64,11.09,38.78,0.0,pitch
-23.64,11.09,38.78,0.0,pitch
-16.09,11.0,41.43,0.0,pitch
-16.09,11.0,41.43,0.0,pitch
-16.09,11.0,41.43,0.0,pitch
-9.91,11.09,42.96,0.0,pitch
-9.91,11.09,42.96,0.0,pitch
-9.91,11.09,42.96,0.0,pitch
-9.91,11.09,42.96,0.0,pitch
-3.27,11.73,43.78,0.0,pitch
-3.27,11.73,43.78,0.0,pitch
-3.27,11.73,43.78,0.0,pitch
4.0,11.64,43.67,0.0,pitch
4.0,11.64,43.67,0.0,pitch
4.0,11.64,43.67,0.0,pitch
11.55,10.82,42.96,0.0,pitch
11.55,10.82,42.96,0.0,pitch
11.55,10.82,42.96,0.0,pitch
18.27,10.36,41.22,0.0,pitch
18.27,10.36,41.22,0.0,pitch
18.27,10.36,41.22,0.0,pitch
24.18,9.82,39.08,0.0,pitch
24.18,9.82,39.08,0.0,pitch
24.18,9.82,39.08,0.0,pitch
28.64,9.0,36.94,0.0,pitch
28.64,9.0,36.94,0.0,pitch
28.64,9.0,36.94,0.0,pitch
28.64,9.0,36.94,0.0,pitch
32.27,8.45,34.8,0.0,pitch
32.27,8.45,34.8,0.0,pitch
32.27,8.45,34.8,0.0,pitch
36.27,8.36,31.63,0.0,pitch
